Nombre;NombreCentro;Region;Articulo;NombreArticulo;Estado;Modelo;EANUPC;Temporada;typefield;Cantidad;date;OnHand
0001;L CENTRO;DF;88135296;RELOJ KC KC2604 ELEGANCE DAMA, BLANCO;Activo;KC2604;20571078833;Compra única;0006;-1.0;2012/01/01;0
0002;L INSURGENTES;DF;49779712;RELOJ KC KC1376 CABALLERO PIEL, NEGRO;Activo;KC1376;20571075085;Compra única;0007; 1.0;2011/12/01;1
0002;L INSURGENTES;DF;49779712;RELOJ KC KC1376 CABALLERO PIEL, NEGRO;Activo;KC1376;20571075085;Compra única;0015; 1.0;2011/04/01;1
0002;L INSURGENTES;DF;60720266;RELOJ KC KC1345 CABALLERO PIEL, CAFE;Activo;KC1345;20571061835;Compra única;0002; 1.0;2012/05/01;1
0002;L INSURGENTES;DF;60720266;RELOJ KC KC1345 CABALLERO PIEL, CAFE;Activo;KC1345;20571061835;Compra única;0007; 1.0;2011/12/01;1
0002;L INSURGENTES;DF;60720266;RELOJ KC KC1345 CABALLERO PIEL, CAFE;Activo;KC1345;20571061835;Compra única;0013; 1.0;2011/06/01;1
0002;L INSURGENTES;DF;60720266;RELOJ KC KC1345 CABALLERO PIEL, CAFE;Activo;KC1345;20571061835;Compra única;0016; 1.0;2011/03/01;1
0002;L INSURGENTES;DF;60976627;RELOJ KC KC1434 CABALLERO PIEL;Activo;KC1434;20571439665;Compra única;0003; 1.0;2012/04/01;1
0002;L INSURGENTES;DF;74993338;RELOJ KC KC1556 CABALLERO CAUCH, NEGRO;Desactivado;KC1556;20571044081;Compra única;0015; 1.0;2011/04/01;
0002;L INSURGENTES;DF;74993648;RELOJ KC KC1557 CABALLERO CAUCH, NEGRO;Activo;KC1557;20571044098;Compra única;0001; 1.0;2012/06/01;0
0002;L INSURGENTES;DF;74993648;RELOJ KC KC1557 CABALLERO CAUCH, NEGRO;Activo;KC1557;20571044098;Compra única;0005; 1.0;2012/02/01;0
0002;L INSURGENTES;DF;74993648;RELOJ KC KC1557 CABALLERO CAUCH, NEGRO;Activo;KC1557;20571044098;Compra única;0007; 2.0;2011/12/01;0
0002;L INSURGENTES;DF;74993648;RELOJ KC KC1557 CABALLERO CAUCH, NEGRO;Activo;KC1557;20571044098;Compra única;0008; 1.0;2011/11/01;0
0002;L INSURGENTES;DF;74993648;RELOJ KC KC1557 CABALLERO CAUCH, NEGRO;Activo;KC1557;20571044098;Compra única;0010; 1.0;2011/09/01;0
0002;L INSURGENTES;DF;74993648;RELOJ KC KC1557 CABALLERO CAUCH, NEGRO;Activo;KC1557;20571044098;Compra única;0015; 1.0;2011/04/01;0
0002;L INSURGENTES;DF;78794437;RELOJ KC KC1591 CABALLERO CAUCH, NEGRO;Desactivado;KC1591;20571055520;Compra única;0013; 1.0;2011/06/01;
0002;L INSURGENTES;DF;78794461;RELOJ KC KC1601 CABALLERO CAUCH, NEGRO;Activo;KC1601;20571055995;Compra única;0002; 1.0;2012/05/01;0
0002;L INSURGENTES;DF;78794461;RELOJ KC KC1601 CABALLERO CAUCH, NEGRO;Activo;KC1601;20571055995;Compra única;0008; 2.0;2011/11/01;0
0002;L INSURGENTES;DF;78794461;RELOJ KC KC1601 CABALLERO CAUCH, NEGRO;Activo;KC1601;20571055995;Compra única;0012; 2.0;2011/07/01;0
0002;L INSURGENTES;DF;78794461;RELOJ KC KC1601 CABALLERO CAUCH, NEGRO;Activo;KC1601;20571055995;Compra única;0014; 1.0;2011/05/01;0
0002;L INSURGENTES;DF;78794461;RELOJ KC KC1601 CABALLERO CAUCH, NEGRO;Activo;KC1601;20571055995;Compra única;0015; 1.0;2011/04/01;0
0002;L INSURGENTES;DF;78794577;RELOJ KENNETH COLE;Activo;KC3866;20571044111;Compra única;0019; 1.0;2010/12/01;
0002;L INSURGENTES;DF;78794593;RELOJ KC KC3893 CABALLERO ACERO, ACERO;Activo;KC3893;20571059856;Compra única;0011; 1.0;2011/08/01;
